Date, Open, High, Low, Close
06/12/20, 9097.28, 9232.28, 8855.12, 9081.90
06/11/20, 9230.64, 9230.64, 8820.63, 8839.36
06/10/20, 9753.62, 9762.37, 9521.06, 9579.07
06/09/20, 9882.76, 9882.76, 9705.14, 9825.57
06/08/20, 9966.04, 10096.18, 9944.70, 10052.85
06/05/20, 9927.86, 10075.43, 9840.40, 9872.96
06/04/20, 9451.33, 9613.53, 9401.94, 9575.25
06/03/20, 9275.32, 9478.11, 9270.92, 9440.77
06/02/20, 9060.63, 9169.67, 9028.83, 9134.88
06/01/20, 8962.59, 9025.72, 8884.89, 8965.91
05/29/20, 8927.74, 9022.88, 8875.31, 8969.79
05/28/20, 9181.82, 9187.40, 8967.29, 9005.43
05/27/20, 9042.23, 9162.59, 8939.97, 9151.39
05/26/20, 8686.39, 8958.37, 8686.39, 8895.61
05/22/20, 8464.94, 8496.77, 8374.91, 8470.09
05/21/20, 8469.92, 8536.93, 8401.20, 8452.85
05/20/20, 8380.96, 8594.50, 8380.96, 8488.98
05/19/20, 8336.10, 8424.91, 8227.80, 8228.93
05/18/20, 8015.50, 8366.34, 8015.50, 8322.86
05/15/20, 7778.78, 7869.53, 7716.94, 7761.00
05/14/20, 7715.17, 7866.04, 7505.28, 7861.34
05/13/20, 7962.10, 7967.21, 7744.56, 7823.80
05/12/20, 8249.43, 8277.07, 7999.48, 8000.55
05/11/20, 8262.70, 8310.93, 8165.56, 8234.18
05/08/20, 8146.20, 8347.86, 8146.20, 8332.50
05/07/20, 8012.69, 8167.64, 8012.69, 8050.59
05/06/20, 8087.95, 8094.89, 7920.08, 7931.83
05/05/20, 8091.24, 8188.48, 8027.44, 8047.30
05/04/20, 8040.02, 8040.02, 7863.56, 7980.96
05/01/20, 8253.25, 8253.25, 8081.09, 8144.86
04/30/20, 8515.33, 8515.33, 8360.91, 8377.08
04/29/20, 8580.81, 8697.49, 8552.97, 8628.62
04/28/20, 8461.39, 8502.44, 8321.40, 8407.32
04/27/20, 8193.52, 8381.45, 8145.63, 8317.42
04/24/20, 8032.56, 8112.80, 7925.71, 8092.40
04/23/20, 7957.06, 8093.42, 7915.78, 7951.66
04/22/20, 7956.18, 8007.07, 7814.49, 7840.59
04/21/20, 7820.41, 7906.82, 7762.43, 7844.37
04/20/20, 8133.11, 8162.22, 7894.84, 7969.73
04/17/20, 8158.56, 8287.67, 8114.00, 8233.81
04/16/20, 7976.29, 8003.37, 7803.37, 7981.93
04/15/20, 8058.21, 8066.83, 7888.94, 8003.23
04/14/20, 8188.28, 8301.01, 8118.10, 8177.69
04/13/20, 8259.69, 8259.69, 7994.69, 8036.98
04/09/20, 8290.63, 8425.45, 8106.62, 8236.92
04/08/20, 8036.24, 8196.62, 7942.64, 8152.39
04/07/20, 8090.60, 8220.22, 7846.24, 7865.49
04/06/20, 7569.12, 7874.99, 7569.12, 7837.69
04/03/20, 7413.98, 7488.40, 7229.00, 7305.31
04/02/20, 7270.52, 7465.97, 7209.95, 7445.71
04/01/20, 7404.09, 7512.08, 7284.82, 7352.58
03/31/20, 7758.74, 7862.56, 7647.13, 7732.32
03/30/20, 7675.83, 7857.27, 7561.47, 7790.91
03/27/20, 7851.69, 7891.36, 7563.67, 7699.18
03/26/20, 7872.57, 8085.58, 7752.95, 8045.47
03/25/20, 7650.23, 8148.98, 7467.65, 7724.87
03/24/20, 7124.20, 7567.06, 7094.14, 7540.80
03/23/20, 6816.66, 6890.23, 6504.56, 6703.63
03/20/20, 7152.64, 7418.91, 6799.38, 6837.72
03/19/20, 6938.85, 7324.23, 6743.07, 7078.73
03/18/20, 7215.94, 7215.94, 6481.20, 6971.44
03/17/20, 7125.27, 7617.70, 6905.10, 7468.23
03/16/20, 7574.15, 7574.15, 6996.32, 7023.44
03/13/20, 7466.59, 7940.49, 7329.17, 7939.40
03/12/20, 7955.81, 7955.81, 7253.10, 7259.02
03/11/20, 8345.80, 8345.80, 8027.81, 8126.09
03/10/20, 8194.09, 8521.39, 8069.45, 8520.84
03/09/20, 8803.05, 8803.05, 8015.30, 8083.49
03/06/20, 8807.08, 9057.62, 8659.62, 8956.06
03/05/20, 9297.92, 9297.92, 8979.34, 9010.92
03/04/20, 9288.65, 9524.14, 9189.84, 9512.05
03/03/20, 9481.35, 9695.50, 9146.10, 9200.67
03/02/20, 9437.47, 9497.80, 9156.01, 9475.68
02/28/20, 9331.55, 9422.35, 9127.16, 9388.19
02/27/20, 9674.95, 9884.05, 9368.58, 9484.44
02/26/20, 10126.76, 10141.68, 9828.73, 9840.89
02/25/20, 10542.93, 10560.56, 10039.06, 10061.46
02/24/20, 10698.11, 10698.11, 10397.40, 10509.92
02/21/20, 10969.06, 10977.44, 10826.97, 10908.94
02/20/20, 10965.03, 11071.92, 10937.46, 11032.96
02/19/20, 10895.30, 10967.33, 10888.52, 10943.24
02/18/20, 10846.32, 10916.74, 10810.72, 10865.58
02/14/20, 10982.18, 11001.35, 10841.27, 10862.92
02/13/20, 10967.47, 11014.31, 10894.95, 10994.14
02/12/20, 10958.38, 11042.04, 10955.92, 11003.45
02/11/20, 10915.14, 11005.22, 10894.84, 10902.72
02/10/20, 10843.18, 10874.07, 10805.96, 10866.58
02/07/20, 10823.44, 10889.93, 10781.45, 10857.73
02/06/20, 10961.00, 10988.28, 10864.27, 10874.40
02/05/20, 10887.37, 10956.74, 10856.54, 10928.84
02/04/20, 10690.45, 10818.34, 10690.45, 10783.03
02/03/20, 10611.44, 10705.42, 10570.95, 10590.66
01/31/20, 10777.57, 10778.24, 10533.29, 10566.74
01/30/20, 10815.87, 10844.43, 10675.50, 10833.17
01/29/20, 10863.26, 11038.15, 10859.23, 10905.64
01/28/20, 10863.14, 10921.55, 10814.20, 10861.34
01/27/20, 10848.06, 10889.32, 10766.84, 10796.83
01/24/20, 11142.81, 11149.04, 10972.35, 11059.84
01/23/20, 10982.36, 11155.14, 10872.07, 11143.42
01/22/20, 11098.32, 11134.03, 10991.67, 10999.36
01/21/20, 11226.20, 11252.77, 11028.41, 11075.01
01/17/20, 11248.09, 11359.49, 11190.05, 11278.85
01/16/20, 11259.72, 11326.03, 11255.23, 11304.97
01/15/20, 11190.17, 11268.10, 11154.16, 11195.39
01/14/20, 11087.45, 11228.20, 11086.48, 11164.51
01/13/20, 10978.70, 11065.76, 10974.43, 11062.74
01/10/20, 11033.44, 11049.66, 10961.51, 10973.88
01/09/20, 11024.93, 11055.47, 10991.61, 11025.82
01/08/20, 10882.96, 11051.19, 10870.71, 10983.64
01/07/20, 10841.81, 10926.22, 10793.34, 10887.56
01/06/20, 10789.13, 10851.20, 10745.88, 10848.73
01/03/20, 10852.63, 10917.71, 10793.64, 10911.40
01/02/20, 10967.27, 10994.49, 10881.60, 10994.31
12/31/19, 10855.19, 10921.24, 10846.73, 10901.28
12/30/19, 10941.82, 10941.82, 10850.21, 10874.58
12/27/19, 10970.11, 10977.59, 10918.56, 10936.70
12/26/19, 10933.84, 10951.12, 10888.99, 10950.60
12/24/19, 10910.43, 10923.48, 10883.95, 10915.55
12/23/19, 10925.91, 10949.68, 10888.29, 10912.68
12/20/19, 10834.04, 10912.58, 10791.33, 10900.73
12/19/19, 10770.33, 10843.07, 10768.39, 10804.78
12/18/19, 10897.81, 10897.81, 10725.92, 10779.78
12/17/19, 10838.79, 10946.93, 10836.72, 10879.27
12/16/19, 10824.71, 10923.96, 10824.71, 10867.32
12/13/19, 10788.41, 10895.03, 10734.34, 10775.76
12/12/19, 10696.20, 10888.60, 10657.64, 10789.41
12/11/19, 10649.38, 10687.03, 10618.28, 10678.89
12/10/19, 10659.44, 10696.52, 10615.20, 10629.87
12/09/19, 10684.43, 10728.91, 10658.46, 10676.51
12/06/19, 10661.11, 10762.74, 10661.11, 10708.54
12/05/19, 10603.02, 10624.59, 10530.13, 10574.88
12/04/19, 10550.80, 10692.94, 10550.22, 10574.58
12/03/19, 10624.01, 10624.01, 10454.45, 10499.29
12/02/19, 10879.64, 10937.14, 10729.58, 10734.85
11/29/19, 10914.57, 10937.92, 10841.98, 10857.57
11/27/19, 10964.59, 10991.58, 10905.49, 10947.55
11/26/19, 10945.08, 11002.39, 10925.42, 10970.23
11/25/19, 10807.09, 10955.18, 10796.88, 10948.50
11/22/19, 10722.78, 10789.93, 10692.57, 10785.15
11/21/19, 10705.71, 10734.33, 10649.35, 10681.29
11/20/19, 10809.96, 10812.73, 10674.68, 10695.04
11/19/19, 10908.60, 10919.90, 10811.95, 10847.63
11/18/19, 10840.50, 10880.72, 10787.42, 10879.09
11/15/19, 10905.85, 10950.92, 10866.25, 10876.29
11/14/19, 10835.44, 10879.21, 10807.44, 10871.35
11/13/19, 10908.47, 10915.71, 10829.01, 10842.63
11/12/19, 11026.56, 11046.73, 10939.57, 10959.26
11/11/19, 11008.09, 11046.23, 10961.21, 11029.55
11/08/19, 11072.04, 11102.51, 11018.57, 11067.16
11/07/19, 11086.73, 11226.54, 11074.54, 11091.37
11/06/19, 11043.33, 11043.33, 10952.00, 11030.04
11/05/19, 10997.57, 11161.32, 10992.96, 11050.03
11/04/19, 10810.90, 10985.76, 10810.90, 10982.15
11/01/19, 10530.99, 10739.28, 10522.98, 10738.81
10/31/19, 10586.34, 10596.71, 10425.79, 10498.86
10/30/19, 10762.16, 10765.03, 10538.63, 10639.20
10/29/19, 10802.09, 10867.58, 10771.40, 10829.77
10/28/19, 10888.60, 10959.39, 10830.16, 10853.36
10/25/19, 10658.52, 10864.25, 10658.52, 10856.41
10/24/19, 10756.59, 10781.21, 10626.54, 10676.57
10/23/19, 10707.48, 10737.28, 10660.26, 10726.59
10/22/19, 10640.63, 10748.39, 10533.65, 10747.59
10/21/19, 10571.99, 10690.05, 10571.99, 10652.12
10/18/19, 10510.56, 10541.53, 10467.87, 10508.74
10/17/19, 10474.47, 10564.79, 10434.18, 10496.18
10/16/19, 10392.90, 10486.48, 10383.79, 10432.81
10/15/19, 10262.67, 10426.01, 10248.60, 10386.29
10/14/19, 10247.57, 10272.38, 10199.06, 10256.10
10/11/19, 10176.70, 10370.33, 10175.17, 10291.98
10/10/19, 9917.51, 10073.84, 9900.00, 10067.33
10/09/19, 9899.53, 9980.09, 9895.50, 9943.33
10/08/19, 9896.05, 9944.40, 9825.85, 9829.20
10/07/19, 10000.91, 10094.01, 9948.21, 10014.56
10/04/19, 9939.00, 10033.08, 9917.83, 10029.84
10/03/19, 9878.40, 9929.97, 9708.09, 9925.98
10/02/19, 10026.76, 10026.76, 9804.34, 9884.35
10/01/19, 10415.77, 10484.81, 10082.60, 10119.60
09/30/19, 10382.30, 10416.83, 10359.14, 10363.58
09/27/19, 10442.62, 10487.76, 10320.36, 10341.27
09/26/19, 10441.80, 10443.45, 10367.47, 10409.03
09/25/19, 10335.17, 10477.11, 10327.04, 10433.32
09/24/19, 10429.85, 10531.88, 10295.93, 10333.31
09/23/19, 10423.51, 10455.21, 10358.06, 10382.66
09/20/19, 10515.69, 10566.52, 10407.99, 10454.36
09/19/19, 10571.59, 10583.93, 10487.18, 10504.22
09/18/19, 10534.95, 10583.90, 10447.19, 10576.34
09/17/19, 10705.26, 10732.00, 10636.82, 10705.65
09/16/19, 10699.92, 10804.36, 10649.52, 10730.28
09/13/19, 10783.62, 10856.73, 10772.31, 10813.62
09/12/19, 10763.59, 10765.15, 10639.97, 10713.51
09/11/19, 10687.18, 10761.37, 10587.79, 10761.19
09/10/19, 10499.65, 10672.12, 10465.07, 10672.12
09/09/19, 10339.47, 10516.72, 10335.61, 10510.56
09/06/19, 10395.83, 10426.37, 10297.06, 10302.92
09/05/19, 10204.16, 10412.29, 10204.16, 10369.92
09/04/19, 10049.19, 10122.35, 10046.48, 10111.31
09/03/19, 10050.84, 10093.94, 9909.77, 9991.52
08/30/19, 10148.90, 10230.14, 10101.77, 10126.98
08/29/19, 9992.07, 10151.64, 9992.07, 10105.40
08/28/19, 9703.34, 9931.43, 9676.06, 9907.15
08/27/19, 9893.73, 9897.79, 9717.86, 9734.68
08/26/19, 9824.08, 9864.12, 9748.97, 9834.72
08/23/19, 10020.05, 10052.39, 9702.19, 9739.74
08/22/19, 10129.48, 10155.82, 10019.56, 10073.15
08/21/19, 10089.73, 10145.39, 10075.46, 10107.47
08/20/19, 10054.68, 10064.89, 10001.88, 10006.03
08/19/19, 10061.02, 10162.22, 10061.02, 10081.38
08/16/19, 9810.24, 9988.63, 9795.39, 9967.32
08/15/19, 9858.92, 9870.57, 9695.49, 9764.49
08/14/19, 10063.58, 10063.58, 9820.30, 9842.40
08/13/19, 10018.22, 10271.68, 9956.45, 10148.68
08/12/19, 10165.27, 10165.27, 9997.16, 10033.58
08/09/19, 10297.68, 10310.18, 10161.28, 10207.21
08/08/19, 10184.81, 10339.37, 10183.45, 10324.38
08/07/19, 10110.28, 10166.36, 9965.07, 10150.21
08/06/19, 10137.53, 10195.26, 10038.77, 10172.52
08/05/19, 10304.90, 10304.90, 9959.84, 10040.23
08/02/19, 10410.34, 10434.16, 10313.26, 10374.43
08/01/19, 10699.13, 10710.53, 10399.09, 10433.45
07/31/19, 10753.84, 10819.32, 10598.57, 10701.75
07/30/19, 10739.06, 10799.72, 10632.72, 10784.84
07/29/19, 10756.10, 10785.91, 10736.03, 10776.00
07/26/19, 10699.67, 10808.04, 10668.12, 10776.67
07/25/19, 10757.92, 10780.60, 10666.22, 10693.82
07/24/19, 10611.46, 10853.30, 10583.11, 10775.39
07/23/19, 10655.66, 10721.12, 10636.07, 10717.60
07/22/19, 10624.63, 10691.82, 10602.88, 10622.92
07/19/19, 10554.58, 10673.67, 10554.58, 10604.20
07/18/19, 10432.01, 10542.80, 10432.01, 10537.51
07/17/19, 10693.12, 10693.12, 10403.09, 10406.93
07/16/19, 10668.64, 10876.38, 10666.00, 10794.59
07/15/19, 10635.39, 10655.44, 10572.97, 10601.03
07/12/19, 10417.41, 10655.00, 10416.36, 10637.31
07/11/19, 10280.37, 10420.92, 10260.25, 10390.04
07/10/19, 10363.60, 10436.43, 10274.14, 10291.64
07/09/19, 10385.95, 10397.20, 10304.99, 10339.01
07/08/19, 10457.40, 10471.77, 10378.58, 10416.13
07/05/19, 10493.01, 10510.17, 10344.74, 10485.02
07/03/19, 10443.02, 10534.46, 10435.63, 10523.31
07/02/19, 10527.15, 10531.41, 10386.77, 10420.46
07/01/19, 10533.24, 10643.83, 10444.65, 10505.93
06/28/19, 10332.20, 10471.85, 10332.20, 10461.98
06/27/19, 10199.10, 10360.62, 10195.51, 10308.53
06/26/19, 10127.10, 10209.94, 10109.39, 10176.79
06/25/19, 10193.40, 10206.77, 10082.88, 10109.91
06/24/19, 10357.48, 10364.66, 10189.93, 10197.39
06/21/19, 10412.90, 10492.79, 10349.68, 10352.49
06/20/19, 10431.71, 10462.59, 10345.84, 10412.66
06/19/19, 10333.89, 10353.71, 10269.76, 10341.63
06/18/19, 10194.22, 10386.79, 10194.22, 10320.85
06/17/19, 10297.31, 10297.31, 10191.48, 10199.04
06/14/19, 10347.91, 10353.07, 10218.81, 10305.30
06/13/19, 10268.23, 10365.71, 10256.13, 10347.36
06/12/19, 10198.43, 10258.33, 10159.03, 10246.96
06/11/19, 10275.18, 10339.82, 10150.78, 10198.55
06/10/19, 10194.59, 10358.10, 10194.59, 10231.90
06/07/19, 10103.88, 10219.19, 10103.88, 10140.64
06/06/19, 10155.27, 10155.27, 10013.16, 10077.54
06/05/19, 10109.36, 10190.78, 10097.05, 10171.30
06/04/19, 9828.11, 10089.30, 9821.95, 10083.76
06/03/19, 9739.37, 9881.30, 9715.20, 9759.86
05/31/19, 9811.49, 9819.30, 9722.26, 9738.03
05/30/19, 9944.40, 10007.80, 9865.72, 9926.47
05/29/19, 9973.82, 9980.24, 9880.54, 9929.95
05/28/19, 10124.26, 10164.05, 10004.14, 10005.97
05/24/19, 10204.95, 10242.00, 10063.12, 10137.59
05/23/19, 10278.90, 10278.90, 10083.66, 10171.61
05/22/19, 10490.14, 10490.14, 10307.77, 10332.98
05/21/19, 10504.59, 10563.59, 10491.45, 10510.87
05/20/19, 10427.78, 10508.19, 10389.24, 10461.73
05/17/19, 10538.49, 10619.79, 10469.27, 10491.85
05/16/19, 10495.08, 10657.79, 10493.30, 10605.61
05/15/19, 10405.10, 10500.78, 10332.63, 10475.08
05/14/19, 10328.77, 10528.94, 10328.44, 10454.97
05/13/19, 10427.68, 10433.23, 10229.95, 10305.85
05/10/19, 10601.52, 10639.49, 10372.99, 10602.19
05/09/19, 10580.43, 10644.41, 10483.71, 10627.37
05/08/19, 10654.87, 10752.04, 10628.22, 10638.22
05/07/19, 10845.32, 10845.32, 10556.63, 10670.47
05/06/19, 10859.92, 10939.32, 10757.02, 10902.01
05/03/19, 10823.06, 10986.17, 10822.49, 10958.89
05/02/19, 10650.72, 10823.80, 10634.42, 10787.64
05/01/19, 10826.22, 10838.25, 10652.55, 10661.57
04/30/19, 10775.43, 10882.35, 10712.75, 10847.02
04/29/19, 10871.59, 10883.03, 10773.86, 10807.46
04/26/19, 10835.68, 10895.57, 10802.42, 10881.77
04/25/19, 11036.38, 11036.38, 10833.77, 10845.62
04/24/19, 11007.11, 11148.36, 11007.11, 11098.99
04/23/19, 10982.85, 11027.03, 10952.64, 11003.09
04/22/19, 10969.68, 11012.87, 10918.41, 10977.06
04/18/19, 10984.13, 11048.57, 10958.85, 10988.22
04/17/19, 10897.68, 11002.39, 10888.75, 10935.60
04/16/19, 10773.38, 10842.94, 10739.98, 10826.72
04/15/19, 10901.34, 10929.61, 10807.31, 10819.47
04/12/19, 10835.53, 10919.18, 10835.53, 10912.19
04/11/19, 10703.88, 10803.07, 10703.88, 10785.08
04/10/19, 10645.05, 10715.48, 10601.82, 10695.10
04/09/19, 10707.23, 10710.02, 10611.40, 10645.42
04/08/19, 10725.46, 10752.65, 10684.10, 10744.97
04/05/19, 10694.40, 10775.45, 10694.40, 10734.30
04/04/19, 10649.23, 10737.27, 10619.18, 10688.40
04/03/19, 10649.44, 10763.75, 10616.38, 10642.31
04/02/19, 10673.55, 10701.31, 10606.28, 10625.54
04/01/19, 10432.96, 10658.14, 10432.96, 10643.65
03/29/19, 10357.96, 10461.97, 10357.96, 10407.96
03/28/19, 10195.08, 10329.65, 10195.08, 10319.63
03/27/19, 10107.66, 10228.18, 10098.21, 10197.64
03/26/19, 10033.10, 10117.47, 10029.32, 10107.41
03/25/19, 10048.34, 10122.91, 9983.42, 10000.79
03/22/19, 10262.17, 10262.17, 10046.63, 10052.30
03/21/19, 10132.41, 10307.34, 10104.65, 10285.67
03/20/19, 10212.45, 10223.63, 10069.92, 10143.26
03/19/19, 10420.77, 10453.49, 10253.24, 10277.32
03/18/19, 10313.46, 10415.92, 10309.29, 10414.36
03/15/19, 10347.36, 10417.53, 10294.72, 10310.12
03/14/19, 10374.07, 10386.75, 10291.93, 10345.54
03/13/19, 10295.48, 10439.96, 10292.07, 10367.12
03/12/19, 10326.45, 10343.46, 10228.21, 10261.53
03/11/19, 10097.66, 10315.39, 10094.49, 10312.92
03/08/19, 10097.78, 10121.25, 9994.09, 10116.86
03/07/19, 10248.91, 10248.91, 10110.10, 10162.16
03/06/19, 10317.04, 10331.78, 10244.18, 10261.16
03/05/19, 10404.55, 10422.38, 10311.58, 10314.08
03/04/19, 10488.74, 10563.56, 10333.62, 10399.73
03/01/19, 10509.71, 10548.58, 10408.08, 10462.04
02/28/19, 10485.43, 10490.23, 10424.48, 10467.22
02/27/19, 10523.77, 10537.75, 10431.46, 10491.91
02/26/19, 10577.62, 10622.29, 10544.73, 10546.47
02/25/19, 10627.80, 10672.94, 10580.58, 10585.00
02/22/19, 10632.98, 10640.48, 10501.79, 10593.05
02/21/19, 10650.17, 10673.03, 10594.05, 10632.49
02/20/19, 10611.76, 10660.10, 10575.50, 10627.49
